state_fips,year,state_abbr,state_name,census_region,census_division
34,2013,NJ,New Jersey,Northeast,Middle Atlantic
34,2014,NJ,New Jersey,Northeast,Middle Atlantic
34,2015,NJ,New Jersey,Northeast,Middle Atlantic
34,2016,NJ,New Jersey,Northeast,Middle Atlantic
34,2017,NJ,New Jersey,Northeast,Middle Atlantic
34,2018,NJ,New Jersey,Northeast,Middle Atlantic
34,2019,NJ,New Jersey,Northeast,Middle Atlantic
34,2020,NJ,New Jersey,Northeast,Middle Atlantic
34,2021,NJ,New Jersey,Northeast,Middle Atlantic
34,2022,NJ,New Jersey,Northeast,Middle Atlantic
34,2023,NJ,New Jersey,Northeast,Middle Atlantic
35,2008,NM,New Mexico,West,Mountain
35,2009,NM,New Mexico,West,Mountain
35,2010,NM,New Mexico,West,Mountain
35,2011,NM,New Mexico,West,Mountain
35,2012,NM,New Mexico,West,Mountain
35,2013,NM,New Mexico,West,Mountain
35,2014,NM,New Mexico,West,Mountain
35,2015,NM,New Mexico,West,Mountain
35,2016,NM,New Mexico,West,Mountain
35,2017,NM,New Mexico,West,Mountain
35,2018,NM,New Mexico,West,Mountain
35,2019,NM,New Mexico,West,Mountain
35,2020,NM,New Mexico,West,Mountain
35,2021,NM,New Mexico,West,Mountain
35,2022,NM,New Mexico,West,Mountain
35,2023,NM,New Mexico,West,Mountain
36,2008,NY,New York,Northeast,Middle Atlantic
36,2009,NY,New York,Northeast,Middle Atlantic
36,2010,NY,New York,Northeast,Middle Atlantic
36,2011,NY,New York,Northeast,Middle Atlantic
36,2012,NY,New York,Northeast,Middle Atlantic
36,2013,NY,New York,Northeast,Middle Atlantic
36,2014,NY,New York,Northeast,Middle Atlantic
36,2015,NY,New York,Northeast,Middle Atlantic
36,2016,NY,New York,Northeast,Middle Atlantic
36,2017,NY,New York,Northeast,Middle Atlantic
36,2018,NY,New York,Northeast,Middle Atlantic
36,2019,NY,New York,Northeast,Middle Atlantic
36,2020,NY,New York,Northeast,Middle Atlantic
36,2021,NY,New York,Northeast,Middle Atlantic
36,2022,NY,New York,Northeast,Middle Atlantic
36,2023,NY,New York,Northeast,Middle Atlantic
37,2008,NC,North Carolina,South,South Atlantic
37,2009,NC,North Carolina,South,South Atlantic
37,2010,NC,North Carolina,South,South Atlantic
37,2011,NC,North Carolina,South,South Atlantic
37,2012,NC,North Carolina,South,South Atlantic
37,2013,NC,North Carolina,South,South Atlantic
37,2014,NC,North Carolina,South,South Atlantic
37,2015,NC,North Carolina,South,South Atlantic
37,2016,NC,North Carolina,South,South Atlantic
37,2017,NC,North Carolina,South,South Atlantic
37,2018,NC,North Carolina,South,South Atlantic
37,2019,NC,North Carolina,South,South Atlantic
37,2020,NC,North Carolina,South,South Atlantic
37,2021,NC,North Carolina,South,South Atlantic
37,2022,NC,North Carolina,South,South Atlantic
37,2023,NC,North Carolina,South,South Atlantic
38,2008,ND,North Dakota,Midwest,West North Central
38,2009,ND,North Dakota,Midwest,West North Central
38,2010,ND,North Dakota,Midwest,West North Central
38,2011,ND,North Dakota,Midwest,West North Central
38,2012,ND,North Dakota,Midwest,West North Central
38,2013,ND,North Dakota,Midwest,West North Central
38,2014,ND,North Dakota,Midwest,West North Central
38,2015,ND,North Dakota,Midwest,West North Central
38,2016,ND,North Dakota,Midwest,West North Central
38,2017,ND,North Dakota,Midwest,West North Central
